"unitid","institution name","year","C2012_A.First or Second Major","C2012_A.CIP Code -  2010 Classification","CipTitle","C2012_A.Award Level code","C2012_A.Grand total","IDX_C"
"164447","American International College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"164447","American International College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"164447","American International College","2012","First major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"164447","American International College","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"164465","Amherst College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","11","-2"
"164465","Amherst College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","10","-2"
"164465","Amherst College","2012","First major","'40'","Physical Sciences","Bachelor's degree","21","-2"
"164465","Amherst College","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","2","-2"
"164465","Amherst College","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","12","-2"
"164465","Amherst College","2012","Second major","'40'","Physical Sciences","Bachelor's degree","12","-2"
"164492","Anna Maria College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","2","-2"
"164562","Assumption College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","3","-2"
"164562","Assumption College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","16","-2"
"164562","Assumption College","2012","First major","'40'","Physical Sciences","Bachelor's degree","12","-2"
"164562","Assumption College","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"164562","Assumption College","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"164562","Assumption College","2012","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"164739","Bentley University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","43","-2"
"164739","Bentley University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","52","-2"
"164739","Bentley University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","21","-2"
"164739","Bentley University","2012","Second major","'11'","Computer and Information Sciences and Support Services","Master's degree","5","-2"
"164775","Berkshire Community College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","8","-2"
"164775","Berkshire Community College","2012","First major","'14'","Engineering","Associate's degree","3","-2"
"164775","Berkshire Community College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","4","-2"
"164924","Boston College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","37","-2"
"164924","Boston College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","45","-2"
"164924","Boston College","2012","First major","'27'","Mathematics and Statistics","Master's degree","2","-2"
"164924","Boston College","2012","First major","'40'","Physical Sciences","Bachelor's degree","45","-2"
"164924","Boston College","2012","First major","'40'","Physical Sciences","Master's degree","13","-2"
"164924","Boston College","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","19","-2"
"164924","Boston College","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","35","-2"
"164924","Boston College","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","12","-2"
"164924","Boston College","2012","Second major","'40'","Physical Sciences","Bachelor's degree","2","-2"
"164988","Boston University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","44","-2"
"164988","Boston University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","285","-2"
"164988","Boston University","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","4","-2"
"164988","Boston University","2012","First major","'14'","Engineering","Bachelor's degree","279","-2"
"164988","Boston University","2012","First major","'14'","Engineering","Master's degree","181","-2"
"164988","Boston University","2012","First major","'14'","Engineering","Doctor's degree - research/scholarship ","54","-2"
"164988","Boston University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","40","-2"
"164988","Boston University","2012","First major","'27'","Mathematics and Statistics","Master's degree","7","-2"
"164988","Boston University","2012","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship ","7","-2"
"164988","Boston University","2012","First major","'40'","Physical Sciences","Bachelor's degree","71","-2"
"164988","Boston University","2012","First major","'40'","Physical Sciences","Master's degree","50","-2"
"164988","Boston University","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","37","-2"
"165015","Brandeis University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","20","-2"
"165015","Brandeis University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","111","-2"
"165015","Brandeis University","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","1","-2"
"165015","Brandeis University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","17","-2"
"165015","Brandeis University","2012","First major","'27'","Mathematics and Statistics","Master's degree","2","-2"
"165015","Brandeis University","2012","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship ","7","-2"
"165015","Brandeis University","2012","First major","'40'","Physical Sciences","Bachelor's degree","23","-2"
"165015","Brandeis University","2012","First major","'40'","Physical Sciences","Master's degree","9","-2"
"165015","Brandeis University","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","11","-2"
"165015","Brandeis University","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","6","-2"
"165015","Brandeis University","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","24","-2"
"165015","Brandeis University","2012","Second major","'40'","Physical Sciences","Bachelor's degree","10","-2"
"165024","Bridgewater State University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","19","-2"
"165024","Bridgewater State University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","11","-2"
"165024","Bridgewater State University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","39","-2"
"165024","Bridgewater State University","2012","First major","'40'","Physical Sciences","Bachelor's degree","30","-2"
"165024","Bridgewater State University","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"165024","Bridgewater State University","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","6","-2"
"165024","Bridgewater State University","2012","Second major","'40'","Physical Sciences","Bachelor's degree","4","-2"
"165033","Bristol Community College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","36","-2"
"165033","Bristol Community College","2012","First major","'14'","Engineering","Associate's degree","15","-2"
"165033","Bristol Community College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","24","-2"
"165112","Bunker Hill Community College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","54","-2"
"165112","Bunker Hill Community College","2012","First major","'14'","Engineering","Associate's degree","9","-2"
"165112","Bunker Hill Community College","2012","First major","'27'","Mathematics and Statistics","Associate's degree","6","-2"
"165112","Bunker Hill Community College","2012","First major","'40'","Physical Sciences","Associate's degree","8","-2"
"165194","Cape Cod Community College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","15","-2"
"165194","Cape Cod Community College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","2","-2"
"165334","Clark University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","5","-2"
"165334","Clark University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","13","-2"
"165334","Clark University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","11","-2"
"165334","Clark University","2012","First major","'40'","Physical Sciences","Bachelor's degree","20","-2"
"165334","Clark University","2012","First major","'40'","Physical Sciences","Master's degree","5","-2"
"165334","Clark University","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","3","-2"
"165334","Clark University","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"165334","Clark University","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","5","-2"
"165334","Clark University","2012","Second major","'40'","Physical Sciences","Bachelor's degree","3","-2"
"165529","Curry College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","14","-2"
"165529","Curry College","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"165644","Eastern Nazarene College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"165644","Eastern Nazarene College","2012","First major","'14'","Engineering","Bachelor's degree","2","-2"
"165644","Eastern Nazarene College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","5","-2"
"165644","Eastern Nazarene College","2012","First major","'40'","Physical Sciences","Bachelor's degree","4","-2"
"165644","Eastern Nazarene College","2012","Second major","'14'","Engineering","Bachelor's degree","0","-2"
"165644","Eastern Nazarene College","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"165644","Eastern Nazarene College","2012","Second major","'40'","Physical Sciences","Bachelor's degree","0","-2"
"165671","Emmanuel College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","4","-2"
"165671","Emmanuel College","2012","First major","'40'","Physical Sciences","Bachelor's degree","4","-2"
"165671","Emmanuel College","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"165671","Emmanuel College","2012","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"165699","Endicott College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","8","-2"
"165699","Endicott College","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","4","-2"
"165802","Fisher College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","2","-2"
"165820","Fitchburg State University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","25","-2"
"165820","Fitchburg State University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","24","-2"
"165820","Fitchburg State University","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","26","-2"
"165820","Fitchburg State University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","6","-2"
"165820","Fitchburg State University","2012","First major","'40'","Physical Sciences","Bachelor's degree","4","-2"
"165820","Fitchburg State University","2012","Second major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","0","-2"
"165820","Fitchburg State University","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"165866","Framingham State University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","15","-2"
"165866","Framingham State University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","8","-2"
"165866","Framingham State University","2012","First major","'40'","Physical Sciences","Bachelor's degree","5","-2"
"165866","Framingham State University","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","2","-2"
"165884","Benjamin Franklin Institute of Technology","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","62","-2"
"165936","Gordon College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","9","-2"
"165936","Gordon College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","4","-2"
"165936","Gordon College","2012","First major","'40'","Physical Sciences","Bachelor's degree","5","-2"
"165936","Gordon College","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"165936","Gordon College","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"165936","Gordon College","2012","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"165981","Greenfield Community College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","4","-2"
"165981","Greenfield Community College","2012","First major","'14'","Engineering","Associate's degree","6","-2"
"166018","Hampshire College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","12","-2"
"166018","Hampshire College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","2","-2"
"166018","Hampshire College","2012","First major","'40'","Physical Sciences","Bachelor's degree","9","-2"
"166027","Harvard University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","34","-2"
"166027","Harvard University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","10","-2"
"166027","Harvard University","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","7","-2"
"166027","Harvard University","2012","First major","'14'","Engineering","Bachelor's degree","60","-2"
"166027","Harvard University","2012","First major","'14'","Engineering","Master's degree","45","-2"
"166027","Harvard University","2012","First major","'14'","Engineering","Doctor's degree - research/scholarship ","29","-2"
"166027","Harvard University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","97","-2"
"166027","Harvard University","2012","First major","'27'","Mathematics and Statistics","Master's degree","38","-2"
"166027","Harvard University","2012","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship ","18","-2"
"166027","Harvard University","2012","First major","'40'","Physical Sciences","Bachelor's degree","84","-2"
"166027","Harvard University","2012","First major","'40'","Physical Sciences","Master's degree","61","-2"
"166027","Harvard University","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","105","-2"
"166027","Harvard University","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","2","-2"
"166027","Harvard University","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","12","-2"
"166027","Harvard University","2012","Second major","'40'","Physical Sciences","Bachelor's degree","12","-2"
"166124","College of the Holy Cross","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","39","-2"
"166124","College of the Holy Cross","2012","First major","'40'","Physical Sciences","Bachelor's degree","45","-2"
"166124","College of the Holy Cross","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","6","-2"
"166124","College of the Holy Cross","2012","Second major","'40'","Physical Sciences","Bachelor's degree","3","-2"
"166133","Holyoke Community College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","17","-2"
"166133","Holyoke Community College","2012","First major","'14'","Engineering","Associate's degree","5","-2"
"166133","Holyoke Community College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","10","-2"
"166391","Lasell College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","1","-2"
"166452","Lesley University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","13","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","20","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","180","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","42","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","3","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'14'","Engineering","Bachelor's degree","254","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'14'","Engineering","Master's degree","146","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'14'","Engineering","Doctor's degree - research/scholarship ","19","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","8","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","22","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","9","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","25","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'27'","Mathematics and Statistics","Master's degree","13","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'40'","Physical Sciences","Bachelor's degree","39","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'40'","Physical Sciences","Master's degree","25","-2"
"166513","University of Massachusetts-Lowell","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","16","-2"
"166513","University of Massachusetts-Lowell","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","2","-2"
"166513","University of Massachusetts-Lowell","2012","Second major","'14'","Engineering","Bachelor's degree","1","-2"
"166513","University of Massachusetts-Lowell","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","2","-2"
"166601","Marian Court College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","0","-2"
"166629","University of Massachusetts Amherst","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","74","-2"
"166629","University of Massachusetts Amherst","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","21","-2"
"166629","University of Massachusetts Amherst","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","14","-2"
"166629","University of Massachusetts Amherst","2012","First major","'14'","Engineering","Bachelor's degree","352","-2"
"166629","University of Massachusetts Amherst","2012","First major","'14'","Engineering","Master's degree","169","-2"
"166629","University of Massachusetts Amherst","2012","First major","'14'","Engineering","Doctor's degree - research/scholarship ","57","-2"
"166629","University of Massachusetts Amherst","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","91","-2"
"166629","University of Massachusetts Amherst","2012","First major","'27'","Mathematics and Statistics","Master's degree","17","-2"
"166629","University of Massachusetts Amherst","2012","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship ","6","-2"
"166629","University of Massachusetts Amherst","2012","First major","'40'","Physical Sciences","Bachelor's degree","89","-2"
"166629","University of Massachusetts Amherst","2012","First major","'40'","Physical Sciences","Master's degree","21","-2"
"166629","University of Massachusetts Amherst","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","34","-2"
"166629","University of Massachusetts Amherst","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","3","-2"
"166629","University of Massachusetts Amherst","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","11","-2"
"166629","University of Massachusetts Amherst","2012","Second major","'40'","Physical Sciences","Bachelor's degree","5","-2"
"166638","University of Massachusetts-Boston","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","52","-2"
"166638","University of Massachusetts-Boston","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","25","-2"
"166638","University of Massachusetts-Boston","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","2","-2"
"166638","University of Massachusetts-Boston","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","11","-2"
"166638","University of Massachusetts-Boston","2012","First major","'40'","Physical Sciences","Bachelor's degree","41","-2"
"166638","University of Massachusetts-Boston","2012","First major","'40'","Physical Sciences","Master's degree","8","-2"
"166638","University of Massachusetts-Boston","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","1","-2"
"166638","University of Massachusetts-Boston","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"166647","Massachusetts Bay Community College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","13","-2"
"166647","Massachusetts Bay Community College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","37","-2"
"166647","Massachusetts Bay Community College","2012","First major","'27'","Mathematics and Statistics","Associate's degree","1","-2"
"166656","Massachusetts College of Pharmacy and Health Sciences","2012","First major","'40'","Physical Sciences","Bachelor's degree","0","-2"
"166683","Massachusetts Institute of Technology","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","158","-2"
"166683","Massachusetts Institute of Technology","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","105","-2"
"166683","Massachusetts Institute of Technology","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","43","-2"
"166683","Massachusetts Institute of Technology","2012","First major","'14'","Engineering","Bachelor's degree","453","-2"
"166683","Massachusetts Institute of Technology","2012","First major","'14'","Engineering","Master's degree","609","-2"
"166683","Massachusetts Institute of Technology","2012","First major","'14'","Engineering","Doctor's degree - research/scholarship ","278","-2"
"166683","Massachusetts Institute of Technology","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","64","-2"
"166683","Massachusetts Institute of Technology","2012","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship ","22","-2"
"166683","Massachusetts Institute of Technology","2012","First major","'40'","Physical Sciences","Bachelor's degree","101","-2"
"166683","Massachusetts Institute of Technology","2012","First major","'40'","Physical Sciences","Master's degree","22","-2"
"166683","Massachusetts Institute of Technology","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","89","-2"
"166683","Massachusetts Institute of Technology","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","16","-2"
"166683","Massachusetts Institute of Technology","2012","Second major","'14'","Engineering","Bachelor's degree","19","-2"
"166683","Massachusetts Institute of Technology","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","32","-2"
"166683","Massachusetts Institute of Technology","2012","Second major","'40'","Physical Sciences","Bachelor's degree","19","-2"
"166692","Massachusetts Maritime Academy","2012","First major","'14'","Engineering","Bachelor's degree","125","-2"
"166692","Massachusetts Maritime Academy","2012","First major","'14'","Engineering","Master's degree","18","-2"
"166823","Massasoit Community College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","22","-2"
"166823","Massasoit Community College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","45","-2"
